run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group
23788997398,MZ-CI,completed,success,2026-03-31T08:55:30Z,2026-03-31T10:26:32Z,5462,91.0,5457,91.0,4,0.1,2026-03-31T08:55:34Z,2026-03-31T10:26:31Z,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
23749485707,MZ-CI,completed,success,2026-03-30T14:16:30Z,2026-03-30T15:58:10Z,6100,101.7,6095,101.6,4,0.1,2026-03-30T14:16:34Z,2026-03-30T15:58:09Z,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest
23742428292,MZ-CI,completed,success,2026-03-30T11:28:40Z,2026-03-30T13:11:04Z,6144,102.4,6138,102.3,5,0.1,2026-03-30T11:28:45Z,2026-03-30T13:11:03Z,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest
23738024460,MZ-CI,completed,success,2026-03-30T09:36:09Z,2026-03-30T11:15:02Z,5933,98.9,5926,98.8,6,0.1,2026-03-30T09:36:15Z,2026-03-30T11:15:01Z,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest
23738024215,MZ-CI,completed,cancelled,2026-03-30T09:36:09Z,2026-03-30T09:36:11Z,2,0.0,0,0.0,0,0.0,,,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest
23738023694,MZ-CI,completed,cancelled,2026-03-30T09:36:08Z,2026-03-30T09:36:11Z,3,0.1,1,0.0,1,0.0,2026-03-30T09:36:09Z,2026-03-30T09:36:10Z,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest
23734212474,MZ-CI,completed,success,2026-03-30T08:00:23Z,2026-03-30T09:27:17Z,5214,86.9,5208,86.8,4,0.1,2026-03-30T08:00:27Z,2026-03-30T09:27:15Z,t-babelfish-XE-20586-admin-profile-issue-mz95,pull_request,5983,mz-autotest+pe-autotest
23657044347,MZ-CI,completed,success,2026-03-27T16:38:08Z,2026-03-27T18:29:40Z,6692,111.5,6688,111.5,3,0.1,2026-03-27T16:38:11Z,2026-03-27T18:29:39Z,XE-22522-t-babelfish-feature-export-import-detail-view,pull_request,5985,mz-autotest+pe-autotest
23653914932,MZ-CI,completed,failure,2026-03-27T15:26:59Z,2026-03-27T17:14:24Z,6445,107.4,6440,107.3,4,0.1,2026-03-27T15:27:03Z,2026-03-27T17:14:23Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23652932916,MZ-CI,completed,failure,2026-03-27T15:05:37Z,2026-03-27T15:18:29Z,772,12.9,745,12.4,26,0.4,2026-03-27T15:06:03Z,2026-03-27T15:18:28Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23651772656,MZ-CI,completed,cancelled,2026-03-27T14:40:53Z,2026-03-27T15:06:00Z,1507,25.1,1502,25.0,4,0.1,2026-03-27T14:40:57Z,2026-03-27T15:05:59Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23648040370,MZ-CI,completed,success,2026-03-27T13:16:55Z,2026-03-27T15:09:09Z,6734,112.2,6729,112.2,4,0.1,2026-03-27T13:16:59Z,2026-03-27T15:09:08Z,t-babelfish-XE-20586-admin-profile-issue-mz95,pull_request,5983,mz-autotest+pe-autotest
23646017935,MZ-CI,completed,success,2026-03-27T12:23:35Z,2026-03-27T14:15:41Z,6726,112.1,6720,112.0,4,0.1,2026-03-27T12:23:39Z,2026-03-27T14:15:39Z,XE-22522-t-babelfish-feature-export-import-detail-view,pull_request,5985,mz-autotest+pe-autotest
